version,window_years,start,end,cagr,sharpe,volatility,max_drawdown,avg_bil_weight
ensemble_risk_balanced,3,2009-01-30,2012-01-30,0.09017884751759331,1.1907233159129524,0.07487490110463944,-0.060816161037908434,0.2673619706360021
ensemble_risk_balanced,3,2009-03-03,2012-02-29,0.09012770913016754,1.207724724520434,0.07371077435539534,-0.06081616103790832,0.26188202378539116
ensemble_risk_balanced,3,2009-04-01,2012-03-29,0.08603802497288826,1.1694609189023957,0.07285456451734126,-0.06081616103790888,0.2542751624452756
ensemble_risk_balanced,3,2009-05-01,2012-04-30,0.0933022492546085,1.2542182037087217,0.07327261879329015,-0.06081616103790943,0.2466618709739749
ensemble_risk_balanced,3,2009-06-02,2012-05-30,0.08013064077504595,1.0911489429308243,0.07309948428681587,-0.06081616103790899,0.24021911376060096
ensemble_risk_balanced,3,2009-07-01,2012-06-28,0.08547640394331002,1.1724916420042653,0.07218333210469591,-0.06081616103790921,0.24000842817417084
ensemble_risk_balanced,3,2009-07-31,2012-07-30,0.08484107839930388,1.1742577109494803,0.07153652493877448,-0.060816161037909655,0.23438054789352852
ensemble_risk_balanced,3,2009-08-31,2012-08-28,0.07586289199682406,1.0668824074737073,0.07090193280685328,-0.06081616103790877,0.23353722345561886
ensemble_risk_balanced,3,2009-09-30,2012-09-27,0.07245514998926805,1.030636994388689,0.07027336050861116,-0.060816161037908656,0.2297195448557088
ensemble_risk_balanced,3,2009-10-29,2012-10-26,0.06824406606589695,0.9909522454951162,0.06902877853380808,-0.060816161037908545,0.2260939094665058
ensemble_risk_balanced,3,2009-11-30,2012-11-29,0.056471882570692467,0.8552448993168493,0.06684962187066693,-0.060816161037908656,0.2304920932439366
ensemble_risk_balanced,3,2009-12-30,2012-12-31,0.06276817813219182,0.9559101162303856,0.06596599955636945,-0.05091106648703014,0.23422947027006077
ensemble_risk_balanced,3,2010-02-01,2013-01-31,0.07592114102214764,1.1684536423018883,0.06440950321447053,-0.046777037497228724,0.23244857747413433
ensemble_risk_balanced,3,2010-03-03,2013-03-04,0.06677356577697591,1.0523712492120754,0.06333304151301586,-0.046777037497228724,0.23012365927875378
ensemble_risk_balanced,3,2010-04-01,2013-04-03,0.06297698970202092,1.000567673786902,0.06302872122356318,-0.04677703749722861,0.23373968362619607
ensemble_risk_balanced,3,2010-05-03,2013-05-02,0.06525550110761258,1.0434019218645456,0.06245967375733767,-0.04677703749722861,0.23552072826839637
