kind,label,start,end,n_days,shares_vs_mom12,mbr_vs_rest_shares,both_m_vs_rest_shares,c1_vs_mom12,c1_vs_ew
roll_3y,3y_2012-11-27_2016-01-07,2012-11-27,2016-01-07,756,-0.07440202802381733,0.0022134745485246294,-0.011396823102510719,-0.015927414317290212,0.007392169131613899
roll_3y,3y_2013-03-06_2016-04-13,2013-03-06,2016-04-13,756,-0.07324280153973906,0.0038991785964605924,-0.008039998855455996,-0.015388015935202863,0.005765795539232152
roll_3y,3y_2013-06-13_2016-07-14,2013-06-13,2016-07-14,756,-0.06635193461254664,-0.007972155422996938,-0.007193748009834474,-0.016131440902893576,1.467803471763389e-05
roll_3y,3y_2013-09-10_2016-10-20,2013-09-10,2016-10-20,756,-0.061437108388560015,-0.0013047648920776536,-0.005694294102762804,-0.0032030857806373547,0.005841936022085428
roll_3y,3y_2013-12-17_2017-01-18,2013-12-17,2017-01-18,756,-0.04061544041356822,-0.014578952537180535,-0.013871447155816364,-0.009299163117113877,0.0013414194466747284
roll_3y,3y_2014-03-24_2017-04-26,2014-03-24,2017-04-26,756,-0.035088870725405404,-0.023753756310668967,-0.022078961842690252,-0.009110820417346455,0.008827458302003873
roll_3y,3y_2014-06-25_2017-07-27,2014-06-25,2017-07-27,756,-0.03612724405055215,0.014181870438117864,0.013885368173253344,0.018772399899416148,0.032961589638124136
roll_3y,3y_2014-09-23_2017-10-31,2014-09-23,2017-10-31,756,-0.037741225928569634,0.005384831196338092,-0.002596480657317983,-0.009456308500332194,0.019383418705524
roll_3y,3y_2014-12-26_2018-01-29,2014-12-26,2018-01-29,756,-0.032856407605348685,0.0011338416239414367,0.005460559644990776,-0.03905706614309565,-0.003746057453399071
roll_3y,3y_2015-04-03_2018-05-09,2015-04-03,2018-05-09,756,-0.008770772539938626,-0.01920747023067297,-0.008392459185249432,-0.03498101329710638,-0.004058329713868635
roll_3y,3y_2015-07-06_2018-08-07,2015-07-06,2018-08-07,756,-0.010258631585114458,-0.01904502067995985,-0.0066326367650292725,-0.045928858675154026,-0.0055191219549827935
roll_3y,3y_2015-10-12_2018-11-12,2015-10-12,2018-11-12,756,-0.004592765280927742,-0.017147420662076956,-0.0003626448578841965,-0.05260577389409378,-0.004675546202066537
roll_3y,3y_2016-01-08_2019-02-18,2016-01-08,2019-02-18,756,-0.0006515304496854807,-0.014259220712748804,0.003904880899376929,-0.04688858883143169,-0.0036928296713957557
roll_3y,3y_2016-04-14_2019-05-22,2016-04-14,2019-05-22,756,0.0032727665573146123,-0.017333042440979704,0.00026698130698054695,-0.03666437078298274,0.0035157672999894586
roll_3y,3y_2016-07-15_2019-08-20,2016-07-15,2019-08-20,756,-0.00020034123948527624,-0.00135390103433593,-0.00549836376265238,-0.03160317519931883,0.008667287340081318
roll_3y,3y_2016-10-21_2019-11-25,2016-10-21,2019-11-25,756,0.011174067563443578,-0.010181683389880009,0.0010428882847496206,-0.01912221902463323,0.015335331093814594
roll_3y,3y_2017-01-19_2020-03-02,2017-01-19,2020-03-02,756,0.014298221044372969,0.0038072088465963758,0.001018236898591036,0.01633913006341748,0.04145800350280518
roll_3y,3y_2017-04-27_2020-06-03,2017-04-27,2020-06-03,756,0.04127299141102796,0.021169009746109066,0.007119824447985971,0.04872034021914575,0.06028117922968516
roll_3y,3y_2017-07-28_2020-09-02,2017-07-28,2020-09-02,756,0.04714934483873216,-0.02670191677488177,-0.032466439623578695,0.033451513582875715,0.05135857360910271
roll_3y,3y_2017-11-01_2020-12-08,2017-11-01,2020-12-08,756,0.05583648128041252,-0.014815677148083552,-0.00810755221761752,0.040702486204735586,0.03886208847612217
roll_3y,3y_2018-01-30_2021-03-15,2018-01-30,2021-03-15,756,0.06059604312762046,-0.01774154460696197,-0.012522858611657433,0.047129510970674825,0.04952590846823371
roll_3y,3y_2018-05-10_2021-06-17,2018-05-10,2021-06-17,756,0.05682814690518081,-0.002599891414331015,-0.005828788307354019,0.06369851801874139,0.04894551918362945
roll_3y,3y_2018-08-08_2021-09-14,2018-08-08,2021-09-14,756,0.01829799513714241,-0.014810363788467886,-0.023976000088329622,0.029091339606761104,0.061607717627325156
roll_3y,3y_2018-11-13_2021-12-21,2018-11-13,2021-12-21,756,0.00442947773900441,-0.006804918664960514,-0.024483801837698743,0.043960339363256294,0.06367294930713947
