signal_date,execution_date,symbol,weight
2017-07-31,2017-08-01,AIZ,0.025
2017-07-31,2017-08-01,AON,0.025
2017-08-31,2017-09-01,DAL,0.025
2017-08-31,2017-09-01,AMP,0.025
2017-08-31,2017-09-01,COO,0.025
2017-08-31,2017-09-01,CI,0.025
2017-08-31,2017-09-01,AON,0.025
2017-08-31,2017-09-01,C,0.025
2017-08-31,2017-09-01,DRI,0.025
2017-08-31,2017-09-01,CFG,0.025
2017-08-31,2017-09-01,ADBE,0.025
2017-08-31,2017-09-01,ALL,0.025
2017-08-31,2017-09-01,BAC,0.025
2017-08-31,2017-09-01,AMD,0.025
2017-08-31,2017-09-01,AME,0.025
2017-08-31,2017-09-01,BNY,0.025
2017-08-31,2017-09-01,BKNG,0.025
2017-08-31,2017-09-01,AAPL,0.025
2017-08-31,2017-09-01,CSX,0.025
2017-08-31,2017-09-01,DE,0.025
2017-08-31,2017-09-01,ALGN,0.025
2017-08-31,2017-09-01,AMZN,0.025
2017-08-31,2017-09-01,ALB,0.025
2017-08-31,2017-09-01,AXP,0.025
2017-08-31,2017-09-01,ADSK,0.025
2017-08-31,2017-09-01,DGX,0.025
2017-08-31,2017-09-01,APTV,0.025
2017-08-31,2017-09-01,BAX,0.025
2017-08-31,2017-09-01,BBY,0.025
2017-08-31,2017-09-01,CAT,0.025
2017-08-31,2017-09-01,AVGO,0.025
2017-08-31,2017-09-01,BA,0.025
2017-08-31,2017-09-01,CHTR,0.025
2017-08-31,2017-09-01,CBOE,0.025
2017-08-31,2017-09-01,CCL,0.025
2017-08-31,2017-09-01,CMI,0.025
2017-08-31,2017-09-01,CBRE,0.025
2017-08-31,2017-09-01,AMAT,0.025
2017-08-31,2017-09-01,ADP,0.025
2017-08-31,2017-09-01,A,0.025
2017-08-31,2017-09-01,CNP,0.025
2017-08-31,2017-09-01,ADI,0.025
2017-09-29,2017-10-02,AMP,0.025
2017-09-29,2017-10-02,COO,0.025
2017-09-29,2017-10-02,CI,0.025
2017-09-29,2017-10-02,C,0.025
2017-09-29,2017-10-02,DRI,0.025
2017-09-29,2017-10-02,CFG,0.025
2017-09-29,2017-10-02,ADBE,0.025
2017-09-29,2017-10-02,ALL,0.025
2017-09-29,2017-10-02,CNP,0.025
2017-09-29,2017-10-02,BAC,0.025
2017-09-29,2017-10-02,AMD,0.025
2017-09-29,2017-10-02,AME,0.025
2017-09-29,2017-10-02,BNY,0.025
2017-09-29,2017-10-02,A,0.025
2017-09-29,2017-10-02,AAPL,0.025
2017-09-29,2017-10-02,CSX,0.025
2017-09-29,2017-10-02,DE,0.025
2017-09-29,2017-10-02,ALGN,0.025
2017-09-29,2017-10-02,ALB,0.025
2017-09-29,2017-10-02,AXP,0.025
