top_returns,portfolio_size,variant,status,gross_cagr,gross_volatility,gross_sharpe,gross_max_drawdown,net_cagr,net_volatility,net_sharpe,net_max_drawdown,cost_drag_cagr,benchmark_sharpe,realized_beta_to_spy,average_exposure,one_way_turnover,annualized_turnover,cost_total
3,25,beta_hedged,OK,-0.0065432416802849724,0.09513822104399708,-0.021474673992021093,-0.30078082477044654,-0.018780666457694162,0.09517281713890105,-0.15165526091110335,-0.347929482194026,0.01223742477740919,0.8328409822588789,0.08433998004605872,0.3650156758528805,117.28470079359619,10.199580229728811,0.1172847007935962
3,25,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
3,35,raw,OK,0.07912578085248145,0.14937618228939403,0.5848515008387875,-0.3473508482188149,0.06901043158694686,0.14940385194110123,0.5217190454335336,-0.34790149317754926,0.01011534926553459,0.8328409822588789,0.6851755023094803,0.9869684499314129,108.95714285714284,9.475380102040814,0.10895714285714284
3,35,vol_neutral,OK,0.1706078313666195,0.21734398498688712,0.834283975483849,-0.4338913646295679,0.15976023935216488,0.21737990689868203,0.791329791649652,-0.434358699523103,0.010847592014454621,0.8328409822588789,1.088741028857752,0.9722222222222222,107.69999999999999,9.366053571428571,0.10769999999999999
3,35,beta_neutral,OK,0.16226846223236624,0.20752211666518727,0.829053267035751,-0.44277930514251806,0.1513099621756575,0.20758512421750433,0.7832037932271685,-0.44327732203982684,0.010958500056708731,0.8328409822588789,1.0778509305899908,0.9502743484224966,109.52857142857141,9.525073979591836,0.10952857142857142
3,35,beta_hedged,OK,-0.012340927379562494,0.0879856025632137,-0.09712659842765274,-0.3417656405745496,-0.024043254275156745,0.08799443426537139,-0.2325514756653882,-0.3878901913166223,0.01170232689559425,0.8328409822588789,0.06649392668808078,0.3529059485065523,111.58477340977518,9.70389011617152,0.11158477340977518
3,35,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
3,50,raw,OK,0.08530635476200632,0.14809348107840561,0.6272392925387414,-0.34365035372993824,0.0757370671001274,0.14812114098018425,0.5673431863245787,-0.34416565748771377,0.009569287661878922,0.8328409822588789,0.6907266745463546,0.9869684499314129,102.45956392208439,8.910322791081267,0.1024595639220844
3,50,vol_neutral,OK,0.16705795538466894,0.21043191485104668,0.8401668866066425,-0.4320208008696108,0.15645482072318528,0.21047273158558527,0.7966563254545382,-0.432493649136221,0.01060313466148366,0.8328409822588789,1.0700899425367072,0.9722222222222222,105.57185670968973,9.180981110289089,0.10557185670968973
3,50,beta_neutral,OK,0.15274008939164263,0.2028670515813826,0.8026875202664866,-0.43024796645061214,0.142336967682555,0.20291894376589734,0.7578348318459042,-0.4307386375126794,0.010403121709087637,0.8328409822588789,1.0605800577642492,0.9502743484224966,104.83490899813516,9.11689297894497,0.10483490899813518
3,50,beta_hedged,OK,-0.00902924622297785,0.08444575575357408,-0.06517835918428647,-0.3185773027239107,-0.02018926822081768,0.08445529675003774,-0.19925348692577124,-0.363895371828753,0.01116002199783983,0.8328409822588789,0.06415799443808624,0.34125742580808965,104.5938419602146,9.095928756182948,0.1045938419602146
3,50,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
5,15,raw,OK,0.09038973863192035,0.15193224745703654,0.645712324450063,-0.3018306074530194,0.07901085770303928,0.1519645967893272,0.5765556527591403,-0.30248923489273116,0.011378880928881063,0.8328409822588789,0.6545008618967657,0.9869684499314128,121.36666666666667,10.554565476190477,0.12136666666666668
5,15,vol_neutral,OK,0.20201837780057041,0.23683080443313054,0.8962074483508417,-0.4782114317126833,0.19035940770837922,0.23686516889702994,0.8549347478362842,-0.4790936026632646,0.01165897009219119,0.8328409822588789,1.1001192430394346,0.9722222222222221,112.76666666666667,9.80667261904762,0.11276666666666668
5,15,beta_neutral,OK,0.17588887338150916,0.22422714744009073,0.8352495081426542,-0.45154621183182264,0.16374959634593345,0.22429757548171883,0.788765212997372,-0.4520984728385623,0.012139277035575713,0.8328409822588789,1.1303593721665046,0.9502743484224964,119.9666666666667,10.432815476190479,0.11996666666666667
5,15,beta_hedged,OK,-0.003152545630471737,0.10326554473422196,0.02101550348158014,-0.2918280909526264,-0.016091369436383673,0.1032828404707413,-0.10545782576397576,-0.3481471511954005,0.012938823805911936,0.8328409822588789,0.08606901200684844,0.373984272486923,125.08695881852302,10.878098025825127,0.12508695881852303
5,15,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
5,25,raw,OK,0.10225229080435283,0.14932145864174726,0.7268956404874672,-0.31754541036014894,0.09134184335090412,0.14934825105860783,0.6601630955757097,-0.3181537131289971,0.010910447453448713,0.8328409822588789,0.6629902385602087,0.9869684499314129,115.1,10.009589285714286,0.11510000000000001
5,25,vol_neutral,OK,0.1775378982673259,0.22551906589650866,0.8383570483196346,-0.4936280895131028,0.16644434885643689,0.22555628434565564,0.7962648257966592,-0.49448691986811555,0.011093549410889025,0.8328409822588789,1.0959431209034427,0.9722222222222222,109.49999999999999,9.522589285714284,0.10950000000000001
5,25,beta_neutral,OK,0.15183343726268728,0.2166249394825482,0.7614965924901487,-0.46574093389752347,0.14042432756988998,0.21668377701889033,0.7153846116988463,-0.4667173432546289,0.011409109692797292,0.8328409822588789,1.1085717213878652,0.9502743484224966,115.1,10.009589285714286,0.11510000000000001
5,25,beta_hedged,OK,0.009220592862018595,0.09704565091340996,0.14304928789615112,-0.2981827106272378,-0.003326071912834072,0.09705925536362885,0.014153442332241082,-0.32924328636418265,0.012546664774852667,0.8328409822588789,0.08629789212674592,0.36646479752387606,118.7133288574682,10.323819848854823,0.11871332885746819
5,25,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
5,35,raw,OK,0.08852645091601685,0.14894234463646655,0.6443313466020383,-0.34280022406532973,0.07828645922000455,0.14896782012818985,0.5807804942522393,-0.3433546845261559,0.010239991696012307,0.8328409822588789,0.6812586208823983,0.9869684499314129,109.35714285714285,9.51016581632653,0.10935714285714285
5,35,vol_neutral,OK,0.17754103263077203,0.2161530184000393,0.8650589000882821,-0.4622764327557679,0.16655065404752123,0.21619349672949933,0.8215372847040469,-0.4631772836866306,0.010990378583250804,0.8328409822588789,1.077669370549257,0.9722222222222222,108.47142857142856,9.433140306122448,0.10847142857142854
5,35,beta_neutral,OK,0.1600171364257832,0.20905577286828392,0.8151820290298816,-0.45376675894523666,0.14893576524262886,0.20910390060751718,0.7691137347482956,-0.45479451032812446,0.011081371183154332,0.8328409822588789,1.0803214821203797,0.9502743484224966,111.0142857142857,9.654278061224488,0.1110142857142857
5,35,beta_hedged,OK,-0.004214484126295215,0.0901269930703383,-0.001808077912773525,-0.3145664741576185,-0.016071001868492307,0.0901479942093735,-0.13465158172038322,-0.3598496593652376,0.011856517742197092,0.8328409822588789,0.07473433747710044,0.35220260010721255,112.24220166014014,9.761062894372902,0.11224220166014014
5,35,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
5,50,raw,OK,0.08732685315431765,0.15027642897814444,0.632604591094687,-0.35200619767259167,0.07769682208885942,0.15030191478452387,0.5733182859527213,-0.35254120980297043,0.009630031065458233,0.8328409822588789,0.6985527140157755,0.9869684499314129,102.9246489089006,8.950768574756177,0.10292464890890057
5,50,vol_neutral,OK,0.16981303444742224,0.20939617155078974,0.854481746939261,-0.43827669126290736,0.15907963386624457,0.20944274453318287,0.810302637340018,-0.43872156982067545,0.010733400581177666,0.8328409822588789,1.060008330675957,0.9722222222222222,106.6098649105032,9.271250752038403,0.1066098649105032
5,50,beta_neutral,OK,0.1515770654810371,0.20313163221629282,0.7969056883247466,-0.4359177539073764,0.14111007087460292,0.2031779040078653,0.7518073493693813,-0.43640350641179415,0.010466994606434188,0.8328409822588789,1.0571465891631298,0.9502743484224966,105.60215001017366,9.183615545527601,0.10560215001017365
5,50,beta_hedged,OK,-0.008929914252741367,0.0868234458777989,-0.059915205747336074,-0.3157959468536894,-0.020152140732077717,0.0868303597687976,-0.19104586249801545,-0.3611963239787964,0.01122222647933635,0.8328409822588789,0.07218707098203742,0.33987323763129607,105.24615717986144,9.152656883320093,0.10524615717986144
5,50,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
