version,window_years,start,end,cagr,spy_cagr,beats_spy,max_drawdown
composite_top3_buffer,3,2010-09-02,2013-09-04,0.14030042974572465,0.1758978523369763,False,-0.2139894695882122
composite_top3_buffer,3,2010-10-04,2013-10-03,0.12785082177493123,0.1591208358434133,False,-0.21398946958821252
composite_top3_buffer,3,2010-11-02,2013-11-01,0.13595301439589558,0.16545789388605048,False,-0.21398946958821297
composite_top3_buffer,3,2010-12-02,2013-12-03,0.1355728622539809,0.16481605519025821,False,-0.21398946958821186
composite_top3_buffer,3,2011-01-03,2014-01-03,0.12917050351848403,0.15687861832021155,False,-0.21398946958821274
composite_top3_buffer,3,2011-02-02,2014-02-04,0.09442316935376494,0.12590353320815395,False,-0.21398946958821186
composite_top3_buffer,3,2011-03-04,2014-03-06,0.11636749835246829,0.14468036122570305,False,-0.21398946958821208
composite_top3_buffer,3,2011-04-04,2014-04-04,0.1004773630574749,0.14228189418295756,False,-0.21398946958821252
composite_top3_buffer,3,2011-05-04,2014-05-06,0.10237125779756795,0.13550672767140926,False,-0.19969872924227006
composite_top3_buffer,3,2011-06-03,2014-06-05,0.1335248878111439,0.16231851609856984,False,-0.19969872924226983
composite_top3_buffer,3,2011-07-05,2014-07-07,0.12451737512655625,0.16191671916627826,False,-0.1996987292422704
composite_top3_buffer,3,2011-08-03,2014-08-05,0.13709047771063498,0.17621794775090516,False,-0.13382396198582291
composite_top3_buffer,3,2011-09-01,2014-09-04,0.1592523781351547,0.20301425798170247,False,-0.11757402302206688
composite_top3_buffer,3,2011-10-03,2014-10-03,0.1775980570855158,0.22711760173245543,False,-0.11757402302206699
composite_top3_buffer,3,2011-11-01,2014-11-03,0.15234880261462713,0.19554894212912788,False,-0.11776042516714214
composite_top3_buffer,3,2011-12-01,2014-12-03,0.16240832424998275,0.20912849629680852,False,-0.11776042516714191
composite_top3_buffer,3,2012-01-03,2015-01-05,0.14654008342273883,0.19512521628159485,False,-0.11776042516714225
composite_top3_buffer,3,2012-02-02,2015-02-04,0.15200647266854972,0.17834112214403586,False,-0.11776042516714214
composite_top3_buffer,3,2012-03-05,2015-03-06,0.13842566677553947,0.17118889504045764,False,-0.11776042516714147
composite_top3_buffer,3,2012-04-03,2015-04-07,0.13149913063385243,0.1577457127822255,False,-0.11776042516714225
composite_top3_buffer,3,2012-05-03,2015-05-06,0.13409915262888084,0.1634733481074777,False,-0.11776042516714214
composite_top3_buffer,3,2012-06-04,2015-06-05,0.1816847889421418,0.20280258995622114,False,-0.11776042516714236
composite_top3_buffer,3,2012-07-03,2015-07-07,0.15416477187192923,0.17384389550433865,False,-0.11776042516714169
composite_top3_buffer,3,2012-08-02,2015-08-05,0.16162382337644443,0.17476817011093426,False,-0.1177604251671418
composite_top3_buffer,3,2012-08-31,2015-09-03,0.13171192690535105,0.13917706024485144,False,-0.11776042516714202
composite_top3_buffer,3,2012-10-02,2015-10-05,0.1291821904805719,0.13447966549333001,False,-0.12057016700454481
composite_top3_buffer,3,2012-11-02,2015-11-03,0.15679167815527495,0.16222264634104455,False,-0.12057016700454493
composite_top3_buffer,3,2012-12-04,2015-12-03,0.14482631966735915,0.156283722574315,False,-0.12057016700454504
composite_top3_buffer,3,2013-01-04,2016-01-05,0.12397339081661829,0.1361821374825114,False,-0.12057016700454437
composite_top3_buffer,3,2013-02-05,2016-02-04,0.09827069689888401,0.10816147640973028,False,-0.12057016700454526
composite_top3_buffer,3,2013-03-07,2016-03-07,0.09941220064744938,0.1128470713229226,False,-0.12333374608351722
composite_top3_buffer,3,2013-04-08,2016-04-06,0.1061723997148496,0.12242900492538245,False,-0.1233337460835171
composite_top3_buffer,3,2013-05-07,2016-05-05,0.0825190170938368,0.1042787456236316,False,-0.12333374608351688
composite_top3_buffer,3,2013-06-06,2016-06-06,0.09281956973288219,0.11658911810240369,False,-0.12333374608351744
composite_top3_buffer,3,2013-07-08,2016-07-06,0.0929083544186673,0.1097848005506663,False,-0.12333374608351777
composite_top3_buffer,3,2013-08-06,2016-08-04,0.07278220156558413,0.10448171276079021,False,-0.12333374608351777
composite_top3_buffer,3,2013-09-05,2016-09-02,0.08448091831690752,0.11886375855714437,False,-0.12333374608351733
composite_top3_buffer,3,2013-10-04,2016-10-04,0.07127908550278717,0.10810000131754505,False,-0.1233337460835171
composite_top3_buffer,3,2013-11-04,2016-11-02,0.04793427039763132,0.08152981228113454,False,-0.12333374608351744
composite_top3_buffer,3,2013-12-04,2016-12-02,0.06446569190820317,0.09110911993599013,False,-0.12333374608351677
composite_top3_buffer,3,2014-01-06,2017-01-04,0.06407360571618415,0.09624684146917861,False,-0.12333374608351655
composite_top3_buffer,3,2014-02-05,2017-02-03,0.08058864976962732,0.11618292903734728,False,-0.12333374608351777
composite_top3_buffer,3,2014-03-07,2017-03-07,0.057029257361161045,0.10208760145122664,False,-0.1233337460835171
composite_top3_buffer,3,2014-04-07,2017-04-05,0.055522724850803895,0.10229450705619958,False,-0.12333374608351722
composite_top3_buffer,3,2014-05-07,2017-05-05,0.06414651088146384,0.10919897517282218,False,-0.12333374608351722
composite_top3_buffer,3,2014-06-06,2017-06-06,0.051907297399632624,0.09952920702588508,False,-0.12333374608351766
composite_top3_buffer,3,2014-07-08,2017-07-06,0.04373629684583791,0.09002336130551858,False,-0.12333374608351766
composite_top3_buffer,3,2014-08-06,2017-08-04,0.06787228822788727,0.11072837310519357,False,-0.12333374608351766
composite_top3_buffer,3,2014-09-05,2017-09-05,0.05054898327440838,0.09315098227621332,False,-0.12333374608351777
composite_top3_buffer,3,2014-10-06,2017-10-04,0.08433948067688624,0.11074513702251698,False,-0.12333374608351744
composite_top3_buffer,3,2014-11-04,2017-11-02,0.09416969798296293,0.10740652879739798,False,-0.12333374608351766
composite_top3_buffer,3,2014-12-04,2017-12-04,0.08941146465136152,0.10544136714891761,False,-0.1233337460835171
composite_top3_buffer,3,2015-01-06,2018-01-04,0.10802713701816291,0.12711617041189416,False,-0.12333374608351666
composite_top3_buffer,3,2015-02-05,2018-02-05,0.08827216366016177,0.1118679018122446,False,-0.12333374608351733
composite_top3_buffer,3,2015-03-09,2018-03-07,0.11507479956805611,0.11813865089203879,False,-0.12333374608351655
composite_top3_buffer,3,2015-04-08,2018-04-06,0.08744709120715743,0.10019459811373843,False,-0.12333374608351788
composite_top3_buffer,3,2015-05-07,2018-05-07,0.10327939056643531,0.10871962459170992,False,-0.12333374608351722
composite_top3_buffer,3,2015-06-08,2018-06-06,0.1143507528753005,0.12017800472574924,False,-0.12333374608351677
composite_top3_buffer,3,2015-07-08,2018-07-06,0.1080346749528227,0.12049296903597306,False,-0.12333374608351766
composite_top3_buffer,3,2015-08-06,2018-08-06,0.11072076435437306,0.12892557958966622,False,-0.11217766909200233
composite_top3_buffer,3,2015-09-04,2018-09-05,0.14320406673794306,0.1619498729702611,False,-0.10224787768622967
composite_top3_buffer,3,2015-10-06,2018-10-04,0.14306352852143478,0.15697942344466664,False,-0.10224787768622978
composite_top3_buffer,3,2015-11-04,2018-11-02,0.09188742451676868,0.11014387769632172,False,-0.12972745474543412
composite_top3_buffer,3,2015-12-04,2018-12-04,0.10088528307988187,0.1172904822976868,False,-0.13223551782370147
composite_top3_buffer,3,2016-01-06,2019-01-07,0.08157328262311214,0.10249184788291399,False,-0.21564223209480493
composite_top3_buffer,3,2016-02-05,2019-02-06,0.1114585630952416,0.1471942118459182,False,-0.21564223209480549
composite_top3_buffer,3,2016-03-08,2019-03-08,0.10001660148784075,0.1324370295334707,False,-0.2156422320948056
composite_top3_buffer,3,2016-04-07,2019-04-08,0.09702583571696555,0.14044889893853552,False,-0.21564223209480504
composite_top3_buffer,3,2016-05-06,2019-05-08,0.09631076556802909,0.14132886442538584,False,-0.21564223209480615
composite_top3_buffer,3,2016-06-07,2019-06-07,0.08930732536046793,0.1301490482179566,False,-0.21564223209480515
composite_top3_buffer,3,2016-07-07,2019-07-09,0.09285917670809374,0.1451681474015023,False,-0.21564223209480593
composite_top3_buffer,3,2016-08-05,2019-08-07,0.08910051119622864,0.12132135475131167,False,-0.2156422320948057
composite_top3_buffer,3,2016-09-06,2019-09-06,0.10666101628184554,0.1310944845935207,False,-0.21564223209480526
composite_top3_buffer,3,2016-10-05,2019-10-07,0.11535819910711664,0.13076339271685233,False,-0.2156422320948056
composite_top3_buffer,3,2016-11-03,2019-11-05,0.12650973435228852,0.15734243648716206,False,-0.21564223209480549
composite_top3_buffer,3,2016-12-05,2019-12-05,0.10859362284551599,0.14605539907057064,False,-0.2156422320948056
composite_top3_buffer,3,2017-01-05,2020-01-07,0.1090052095837879,0.14647669915045358,False,-0.2156422320948056
composite_top3_buffer,3,2017-02-06,2020-02-06,0.12363646821133623,0.15526980512914168,False,-0.21564223209480549
composite_top3_buffer,3,2017-03-08,2020-03-09,0.04641822413711183,0.06983243354256286,False,-0.21564223209480526
composite_top3_buffer,3,2017-04-06,2020-04-07,0.04089011677799537,0.06173694018038689,False,-0.3299283440250006
composite_top3_buffer,3,2017-05-08,2020-05-07,0.05178877153423311,0.08364015354257281,False,-0.32992834402500093
composite_top3_buffer,3,2017-06-07,2020-06-08,0.07796714425647377,0.12086709322773426,False,-0.3299283440250004
composite_top3_buffer,3,2017-07-07,2020-07-08,0.08848973277946448,0.11660724457260274,False,-0.3299283440250008
composite_top3_buffer,3,2017-08-07,2020-08-06,0.09713852789478938,0.1271984346199293,False,-0.3299283440250007
composite_top3_buffer,3,2017-09-06,2020-09-04,0.11181119816106855,0.1386010369134989,False,-0.3299283440250004
composite_top3_buffer,3,2017-10-05,2020-10-06,0.09028578437136314,0.1186765112460686,False,-0.3299283440250007
composite_top3_buffer,3,2017-11-03,2020-11-04,0.08278698351748015,0.12167309238163004,False,-0.3299283440250007
composite_top3_buffer,3,2017-12-05,2020-12-04,0.10132677304309912,0.14027578542709218,False,-0.3299283440250007
composite_top3_buffer,3,2018-01-05,2021-01-06,0.0996199395852666,0.13289750187396976,False,-0.3299283440250008
