sample,periods,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,total_return,win_rate,best_period,worst_period,average_turnover,strict_b_exposure,cash_exposure,condition_switches,longest_cash_periods,annual_return_vs_always,max_drawdown_improvement_vs_always,transition_cost_drag,signal_available_ratio,result_type,condition,mode,state_family,state,months,mean_monthly_return,return_contribution,etf_code,status,start,end,calibration_days,tracking_error_2018,mean_daily_amount,selected,fund_name,tracked_index,management_fee_annual,custody_fee_annual,fee_source,price_series_treatment,market_series,market_code,rows
all_sample,90.0,0.0465590797603439,0.09451062541168824,0.4926332839036095,0.770728502937443,0.5456817084211363,-0.08532277890541162,0.4067862807621214,0.24444444444444444,0.1321289072006305,-0.0700831342050659,0.46355555555555555,0.4777777777777778,0.5222222222222223,34.0,9.0,-0.050316409211895285,0.054883415960277904,0.032468000000000004,1.0,performance,C_ret60,Cash,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.06435298887879437,0.0865898036493164,0.7431936113335027,1.1949450368456664,0.9182378843174328,-0.07008313420506584,0.40919554767511523,0.2727272727272727,0.08711345100578147,-0.0700831342050659,0.4490909090909091,0.5151515151515151,0.48484848484848486,23.0,4.0,-0.05465039700967922,0.07012306066062368,0.022255999999999998,1.0,performance,C_ret60,Cash,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,-0.0008552033691375804,0.11461781284141569,-0.007461347830121598,-0.011054724565699269,-0.010023154192922552,-0.08532277890541162,-0.0017096753654726182,0.16666666666666666,0.1321289072006305,-0.05891161808363891,0.5033333333333333,0.375,0.625,10.0,9.0,-0.039109273630645314,0.009959422115170868,0.010211999999999999,1.0,performance,C_ret60,Cash,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.032610175591373025,0.1960602981273398,0.1663272773878623,0.25231307315310764,0.1385120598864625,-0.2354320311033089,0.27210512654865315,0.4777777777777778,0.1545233189735904,-0.15200000000000002,0.8413333333333333,0.4777777777777778,0.0,34.0,0.0,-0.06426531338086616,-0.09522583623761938,0.05966799999999999,1.0,performance,C_ret60,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.02673445211643699,0.18886608679714903,0.1415524225116764,0.20204322588497522,0.11714853753373701,-0.22820986654432518,0.15616479936770267,0.4696969696969697,0.1545233189735904,-0.15200000000000002,0.7975757575757576,0.5151515151515151,0.0,23.0,0.0,-0.0922689337720366,-0.08800367167863565,0.040656,1.0,performance,C_ret60,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.048942374367230146,0.21884333473229486,0.22364114688299752,0.39963552408375813,0.22827118894202827,-0.21440451856436227,0.10028010474316229,0.5,0.1321289072006305,-0.12219679633867286,0.9616666666666666,0.375,0.0,10.0,0.0,0.010688304105722413,-0.11912231754377978,0.019011999999999998,1.0,performance,C_ret60,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.03632875336446739,0.1961775587919388,0.18518302291138608,0.2803286739842602,0.1571614417437032,-0.23115563818580798,0.3068676570939648,0.4777777777777778,0.1545233189735904,-0.15200000000000002,0.46355555555555555,0.4777777777777778,0.0,34.0,0.0,-0.060546735607771796,-0.09094944332011845,0.032468000000000004,1.0,performance,C_ret60,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.030123907950493134,0.18910628646509817,0.15929617419700567,0.22719742894845668,0.13310360329060963,-0.22631925211462967,0.1773133457458711,0.4696969696969697,0.1545233189735904,-0.15200000000000002,0.4490909090909091,0.5151515151515151,0.0,23.0,0.0,-0.08887947793798046,-0.08611305724894014,0.022255999999999998,1.0,performance,C_ret60,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.05358546710324097,0.21865538097943077,0.24506813810487396,0.43485926725616875,0.2522309776624571,-0.2124460191204215,0.11004233649115469,0.5,0.1321289072006305,-0.12219679633867286,0.5033333333333333,0.375,0.0,10.0,0.0,0.015331396841733236,-0.117163818099839,0.010211999999999999,1.0,performance,C_ret60,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.09687548897223919,0.13294555321271473,0.728685440251146,1.2329575847081589,0.6909501328742359,-0.14020619486568953,1.0006908600543079,0.5555555555555556,0.1321289072006305,-0.09900843696827702,0.26733333333333326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,D_ret120,Always,,,,,,,,,,,,,,,,,,,,,,
