signal_date,execution_date,action,code,rank_benefit
2021-03-31,2021-04-01,sell,515180,0.5952380952380952
2021-03-31,2021-04-01,buy,515220,0.5952380952380952
2021-04-08,2021-04-09,sell,512200,0.33333333333333326
2021-04-08,2021-04-09,buy,159995,0.33333333333333326
2021-04-29,2021-04-30,sell,515220,0.9069767441860466
2021-04-29,2021-04-30,buy,159949,0.9069767441860466
2021-05-11,2021-05-12,sell,159995,0.7209302325581395
2021-05-11,2021-05-12,buy,159992,0.7209302325581395
2021-06-01,2021-06-02,sell,159992,0.6976744186046512
2021-06-01,2021-06-02,buy,512880,0.6976744186046512
2021-06-08,2021-06-09,sell,159949,0.40909090909090906
2021-06-08,2021-06-09,buy,159995,0.40909090909090906
2021-06-23,2021-06-24,sell,512880,0.6363636363636365
2021-06-23,2021-06-24,buy,159801,0.6363636363636365
2021-07-14,2021-07-15,sell,159995,0.17391304347826086
2021-07-14,2021-07-15,buy,512400,0.17391304347826086
2021-07-21,2021-07-22,sell,159801,0.6739130434782609
2021-07-21,2021-07-22,buy,515210,0.6739130434782609
2021-08-11,2021-08-12,sell,515210,0.5106382978723405
2021-08-11,2021-08-12,buy,159949,0.5106382978723405
2021-08-18,2021-08-19,sell,512400,0.42553191489361697
2021-08-18,2021-08-19,buy,159985,0.42553191489361697
2021-09-08,2021-09-09,sell,159949,0.6382978723404256
2021-09-08,2021-09-09,buy,512880,0.6382978723404256
2021-09-15,2021-09-16,sell,159985,0.34042553191489366
2021-09-15,2021-09-16,buy,512200,0.34042553191489366
2021-10-08,2021-10-11,sell,512880,0.44680851063829785
2021-10-08,2021-10-11,buy,512690,0.44680851063829785
2021-10-15,2021-10-18,sell,512200,0.5531914893617023
2021-10-15,2021-10-18,buy,510050,0.5531914893617023
2021-11-05,2021-11-08,sell,510050,0.6595744680851063
2021-11-05,2021-11-08,buy,512720,0.6595744680851063
2021-11-12,2021-11-15,sell,512690,0.5319148936170213
2021-11-12,2021-11-15,buy,512660,0.5319148936170213
2021-11-26,2021-11-29,sell,512720,0.32608695652173914
2021-11-26,2021-11-29,buy,512690,0.32608695652173914
2021-12-10,2021-12-13,sell,512660,0.4042553191489362
2021-12-10,2021-12-13,buy,515220,0.4042553191489362
2021-12-17,2021-12-20,sell,512690,0.276595744680851
2021-12-17,2021-12-20,buy,512980,0.276595744680851
2021-12-31,2022-01-04,sell,515220,0.17021276595744683
2021-12-31,2022-01-04,buy,515210,0.17021276595744683
2022-01-17,2022-01-18,sell,512980,0.42553191489361697
2022-01-17,2022-01-18,buy,512100,0.42553191489361697
2022-01-24,2022-01-25,sell,515210,0.7446808510638298
2022-01-24,2022-01-25,buy,159819,0.7446808510638298
2022-02-14,2022-02-15,sell,512100,0.42553191489361697
2022-02-14,2022-02-15,buy,159985,0.42553191489361697
2022-02-21,2022-02-22,sell,159819,0.44680851063829785
2022-02-21,2022-02-22,buy,518880,0.44680851063829785
2022-03-07,2022-03-08,sell,159985,0.8085106382978724
2022-03-07,2022-03-08,buy,511260,0.8085106382978724
2022-03-14,2022-03-15,sell,518880,0.5531914893617023
2022-03-14,2022-03-15,buy,510500,0.5531914893617023
2022-03-28,2022-03-29,sell,511260,0.17021276595744683
2022-03-28,2022-03-29,buy,515220,0.17021276595744683
2022-04-06,2022-04-07,sell,510500,0.34042553191489366
2022-04-06,2022-04-07,buy,515180,0.34042553191489366
2022-04-27,2022-04-28,sell,515220,0.8085106382978724
2022-04-27,2022-04-28,buy,511380,0.8085106382978724
2022-05-09,2022-05-10,sell,515180,0.9574468085106383
2022-05-09,2022-05-10,buy,518880,0.9574468085106383
2022-05-23,2022-05-24,sell,511380,0.574468085106383
2022-05-23,2022-05-24,buy,516160,0.574468085106383
2022-05-30,2022-05-31,sell,518880,0.2978723404255319
2022-05-30,2022-05-31,buy,515220,0.2978723404255319
2022-06-21,2022-06-22,sell,515220,0.9148936170212766
2022-06-21,2022-06-22,buy,159949,0.9148936170212766
2022-06-28,2022-06-29,sell,516160,0.46808510638297873
2022-06-28,2022-06-29,buy,515790,0.46808510638297873
