date,action,code,shares,price,fee,status,reason
2020-06-19,sell,512690,312600,1.372,85.77744000000001,filled,
2020-06-19,buy,159949,86300,0.867,14.964420000000002,filled,
2020-07-07,sell,512010,120800,2.536,61.26976,filled,
2020-07-07,buy,512880,63700,1.355,17.262700000000002,filled,
2020-07-21,sell,159949,86300,1.064,18.364640000000005,filled,
2020-07-21,buy,512660,79200,1.094,17.328960000000002,filled,
2020-07-28,sell,512880,63700,1.202,15.31348,filled,
2020-07-28,buy,518880,20000,4.29,17.16,filled,
2020-08-18,sell,518880,20000,4.202,16.808,filled,
2020-08-18,buy,510050,25100,3.421,17.17342,filled,
2020-08-25,sell,512660,79200,1.171,18.54864,filled,
2020-08-25,buy,512690,47300,1.827,17.28342,filled,
2020-09-22,sell,512690,47300,1.822,17.236120000000003,filled,
2020-09-22,buy,512200,88900,0.972,17.28216,filled,
2020-10-21,sell,512200,88900,0.922,16.39316,filled,
2020-10-21,buy,512690,43800,1.965,17.2134,filled,
2020-10-28,sell,510050,25100,3.346,16.796920000000004,filled,
2020-10-28,buy,511010,700,120.991,16.93874,filled,
2020-11-18,sell,511010,700,120.601,16.88414,filled,
2020-11-18,buy,510050,100400,3.43,68.87440000000001,filled,
2020-12-02,sell,512690,43800,2.176,19.061760000000003,filled,
2020-12-02,buy,512800,243600,1.209,58.902480000000004,filled,
2020-12-23,sell,512800,243600,1.104,53.78688000000001,filled,
2020-12-23,buy,512690,111800,2.588,57.86768000000001,filled,
2020-12-30,sell,510050,100400,3.509,70.46072,filled,
2020-12-30,buy,515650,182400,1.655,60.3744,filled,
2021-01-14,sell,512690,111800,2.811,62.85396,filled,
2021-01-14,buy,159985,55300,1.376,15.218559999999998,filled,
2021-01-21,sell,515650,182400,1.73,63.110400000000006,filled,
2021-01-21,buy,159949,64300,1.369,17.60534,filled,
2021-02-04,sell,159985,55300,1.26,13.9356,filled,
2021-02-04,buy,512800,70600,1.234,17.42408,filled,
2021-02-25,sell,159949,64300,1.295,16.6537,filled,
2021-02-25,buy,511010,700,121.771,17.04794,filled,
2021-03-11,sell,512800,70600,1.23,17.3676,filled,
2021-03-11,buy,511260,700,110.815,15.514100000000001,filled,
2021-04-09,sell,511260,700,110.724,15.501360000000002,filled,
2021-04-09,buy,515210,55200,1.576,17.39904,filled,
2021-04-30,sell,515210,55200,1.559,17.211360000000003,filled,
2021-04-30,buy,515220,231900,1.5,69.57000000000001,filled,
2021-05-26,sell,515220,231900,1.505,69.8019,filled,
2021-05-26,buy,159949,249200,1.397,69.62648000000002,filled,
2021-06-17,sell,159949,249200,1.353,67.43352,filled,
2021-06-17,buy,511260,3000,112.171,67.3026,filled,
2021-07-08,sell,511260,3000,113.08,67.848,filled,
2021-07-08,buy,515030,152400,2.273,69.28104,filled,
2021-07-29,sell,515030,152400,2.326,70.89648000000001,filled,
2021-07-29,buy,511260,700,114.411,16.01754,filled,
2021-08-26,sell,511260,700,114.89,16.084600000000002,filled,
2021-08-26,buy,515220,43400,2.004,17.394720000000003,filled,
2021-09-09,sell,511010,700,124.9,17.486,filled,
2021-09-09,buy,512980,116000,0.75,17.400000000000002,filled,
2021-09-27,sell,515220,43400,2.353,20.424040000000005,filled,
2021-09-27,buy,511010,2800,124.985,69.9916,filled,
2021-10-11,sell,512980,116000,0.717,16.6344,filled,
2021-10-11,buy,515650,348800,1.494,104.22144,filled,
2021-10-25,sell,511010,2800,124.502,69.72112,filled,
2021-10-25,buy,515030,259100,2.54,131.6228,filled,
2021-11-01,sell,515650,348800,1.448,101.01248,filled,
2021-11-01,buy,159949,389000,1.495,116.311,filled,
2021-11-15,sell,515030,259100,2.629,136.23478,filled,
2021-11-15,buy,512660,434200,1.454,126.26535999999999,filled,
2021-11-22,sell,159949,389000,1.526,118.7228,filled,
2021-11-22,buy,512100,539500,1.135,122.46650000000001,filled,
2021-12-13,sell,512660,434200,1.426,123.83384,filled,
2021-12-13,buy,511260,5300,115.495,122.4247,filled,
2021-12-20,sell,512100,539500,1.145,123.5455,filled,
2021-12-20,buy,511010,4900,125.822,123.30556000000001,filled,
2022-02-22,sell,511260,5300,116.405,123.3893,filled,
2022-02-22,buy,159985,41700,1.482,12.35988,filled,
2022-03-29,sell,159985,41700,1.611,13.435740000000001,filled,
2022-03-29,buy,512200,75300,0.824,12.40944,filled,
2022-04-21,sell,512200,75300,0.804,12.108240000000002,filled,
2022-04-21,buy,511260,500,116.894,11.689400000000001,filled,
2022-05-24,sell,511260,500,117.665,11.7665,filled,
2022-05-24,buy,159985,38300,1.618,12.393880000000001,filled,
2022-06-15,sell,159985,38300,1.626,12.45516,filled,
2022-06-15,buy,515220,23000,2.688,12.364800000000002,filled,
2022-07-06,sell,515220,23000,2.51,11.546,filled,
2022-07-06,buy,515790,144300,1.714,49.46604,filled,
2022-07-27,sell,515790,144300,1.704,49.17744,filled,
2022-07-27,buy,511260,3600,118.31,85.1832,filled,
2022-10-27,sell,511260,3600,119.631,86.13432,filled,
2022-10-27,buy,512720,59600,1.04,12.3968,filled,
2022-11-17,sell,511010,4900,128.481,125.91138000000001,filled,
2022-11-17,buy,518880,22800,3.954,18.03024,filled,
2022-11-24,sell,512720,59600,1.088,12.968960000000001,filled,
2022-11-24,buy,518850,22400,3.977,17.81696,filled,
2023-01-06,sell,518850,22400,4.016,17.99168,filled,
2023-01-06,buy,159992,907800,0.982,178.29192,filled,
2023-01-20,sell,518880,22800,4.1,18.695999999999998,filled,
2023-01-20,buy,512720,419100,1.175,98.4885,filled,
2023-02-03,sell,159992,907800,1.025,186.099,filled,
2023-02-03,buy,512980,1084300,0.656,142.26016,filled,
2023-02-24,sell,512980,1084300,0.673,145.94678000000002,filled,
2023-02-24,buy,515210,50200,1.434,14.39736,filled,
2023-03-17,sell,515210,50200,1.384,13.895359999999998,filled,
2023-03-17,buy,518880,68800,4.178,57.48928000000001,filled,
2023-03-31,sell,512720,419100,1.37,114.83340000000001,filled,
2023-03-31,buy,588000,778300,1.108,172.47128,filled,
2023-04-10,sell,518880,68800,4.301,59.18176,filled,
2023-04-10,buy,159819,563900,1.027,115.82506,filled,
2023-05-04,sell,159819,563900,0.888,100.14864,filled,
2023-05-04,buy,515180,403400,1.338,107.94984000000002,filled,
2023-05-11,sell,588000,778300,1.077,167.64582000000001,filled,
2023-05-11,buy,511260,5600,121.412,135.98144000000002,filled,
2023-05-25,sell,515180,403400,1.298,104.72264000000001,filled,
2023-05-25,buy,511010,1800,131.186,47.226960000000005,filled,
2023-07-31,sell,511010,1800,131.836,47.46096000000001,filled,
2023-07-31,buy,512880,238200,1.026,48.878640000000004,filled,
2023-08-07,sell,511260,5600,122.75,137.48000000000002,filled,
2023-08-07,buy,511380,7100,11.57,16.4294,filled,
2023-08-21,sell,512880,238200,1.01,48.116400000000006,filled,
2023-08-21,buy,159985,38800,2.347,18.21272,filled,
2023-08-28,sell,511380,7100,11.599,16.470579999999998,filled,
2023-08-28,buy,511260,700,123.202,17.24828,filled,
2023-09-11,sell,159985,38800,2.346,18.20496,filled,
2023-09-11,buy,518850,19900,4.559,18.144820000000003,filled,
2023-10-10,sell,518850,19900,4.44,17.671200000000002,filled,
2023-10-10,buy,511010,6800,131.956,179.46016,filled,
2023-10-31,sell,511260,700,122.901,17.20614,filled,
2023-10-31,buy,159995,200500,1.003,40.220299999999995,filled,
2023-11-07,sell,511010,6800,132.145,179.71720000000002,filled,
2023-11-07,buy,159859,1159500,0.514,119.1966,filled,
2023-11-21,sell,159995,200500,0.993,39.8193,filled,
2023-11-21,buy,512100,259300,2.518,130.58347999999998,filled,
2023-11-28,sell,159859,1159500,0.5,115.95,filled,
2023-11-28,buy,515220,263200,2.341,123.23024000000002,filled,
2023-12-12,sell,512100,259300,2.44,126.53840000000001,filled,
2023-12-12,buy,511260,5000,123.66,123.66000000000001,filled,
2024-01-17,sell,515220,263200,2.4,126.33600000000001,filled,
2024-01-17,buy,518880,94700,4.661,88.27933999999999,filled,
2024-02-07,sell,518880,94700,4.649,88.05206,filled,
2024-02-07,buy,512800,55600,1.132,12.58784,filled,
2024-03-07,sell,512800,55600,1.162,12.92144,filled,
2024-03-07,buy,518880,13000,4.848,12.604800000000001,filled,
2024-03-14,sell,511260,5000,126.521,126.521,filled,
2024-03-14,buy,512980,482600,0.759,73.25868000000001,filled,
2024-04-08,sell,512980,482600,0.73,70.45960000000001,filled,
2024-04-08,buy,512400,812000,1.119,181.72560000000001,filled,
2024-04-29,sell,512400,812000,1.084,176.04160000000005,filled,
2024-04-29,buy,511380,32300,11.067,71.49282,filled,
2024-05-09,sell,518880,13000,5.252,13.6552,filled,
2024-05-09,buy,159928,333900,0.898,59.96844000000001,filled,
2024-05-30,sell,159928,333900,0.877,58.56606,filled,
2024-05-30,buy,511010,5400,135.986,146.86488,filled,
2024-06-14,sell,511380,32300,11.173,72.17758,filled,
2024-06-14,buy,511260,4300,128.297,110.33542,filled,
2024-07-19,sell,511260,4300,129.228,111.13608,filled,
2024-07-19,buy,510050,223100,2.515,112.2193,filled,
2024-08-09,sell,510050,223100,2.417,107.84653999999999,filled,
2024-08-09,buy,511260,1600,130.182,41.65824,filled,
2024-10-08,sell,511260,1600,128.674,41.17568000000001,filled,
2024-10-08,buy,159949,45300,1.211,10.971660000000002,filled,
2024-10-29,sell,159949,45300,0.997,9.032820000000001,filled,
2024-10-29,buy,518850,8900,6.047,10.76366,filled,
2024-11-19,sell,518850,8900,5.835,10.3863,filled,
2024-11-19,buy,511260,400,131.4,10.512,filled,
2025-01-22,sell,511010,5400,141.3,152.60400000000004,filled,
2025-01-22,buy,511380,7600,11.764,17.88128,filled,
2025-02-13,sell,511260,400,136.51,10.9208,filled,
2025-02-13,buy,512980,394500,0.893,70.4577,filled,
2025-03-06,sell,512980,394500,0.845,66.6705,filled,
2025-03-06,buy,512800,404400,1.508,121.96704,filled,
2025-03-20,sell,511380,7600,12.199,18.54248,filled,
2025-03-20,buy,518880,35900,6.82,48.967600000000004,filled,
2025-03-27,sell,512800,404400,1.516,122.61408000000002,filled,
2025-03-27,buy,518850,46600,6.828,63.63696,filled,
2025-04-25,sell,518850,46600,7.69,71.6708,filled,
2025-04-25,buy,511260,600,136.1,16.332,filled,
2025-05-07,sell,518880,35900,7.614,54.66852,filled,
2025-05-07,buy,512480,83500,1.092,18.2364,filled,
2025-05-28,sell,512480,83500,1.0,16.7,filled,
2025-05-28,buy,159992,1190900,0.763,181.73134000000002,filled,
2025-06-19,sell,159992,1190900,0.786,187.20948,filled,
2025-06-19,buy,512800,548900,1.68,184.43040000000002,filled,
2025-06-26,sell,511260,600,136.641,16.396919999999998,filled,
2025-06-26,buy,159949,526200,0.954,100.39896,filled,
2025-07-10,sell,512800,548900,0.894,98.14332000000002,filled,
2025-07-10,buy,515180,245500,1.415,69.4765,filled,
2025-07-31,sell,159949,526200,1.076,113.23824000000002,filled,
2025-07-31,buy,512010,1435100,0.422,121.12244,filled,
2025-08-21,sell,512010,1435100,0.416,119.40032000000001,filled,
2025-08-21,buy,588200,322000,1.867,120.2348,filled,
2025-08-28,sell,515180,245500,1.425,69.9675,filled,
2025-08-28,buy,159819,138400,1.374,38.032320000000006,filled,
2025-09-11,sell,588200,322000,1.981,127.5764,filled,
2025-09-11,buy,512980,68400,1.021,13.967279999999999,filled,
2025-09-18,sell,159819,138400,1.48,40.9664,filled,
