date,value,cash,holdings,return,nav
2026-06-08,1673046.8058800027,1064880.5058800029,511010|515220,-0.00035831939295027926,1.6730468058800028
2026-06-09,1671614.0058800029,1064880.5058800029,511010|515220,-0.0008564016230533378,1.6716140058800029
2026-06-10,1669108.7058800028,1064880.5058800029,511010|515220,-0.0014987311611337484,1.6691087058800027
2026-06-11,1668766.705880003,1064880.5058800029,511010|515220,-0.00020489977602711207,1.668766705880003
2026-06-12,1669190.605880003,1064880.5058800029,511010|515220,0.0002540199289129408,1.669190605880003
2026-06-15,1666847.9058800028,1064880.5058800029,511010|515220,-0.0014034945989677139,1.6668479058800028
2026-06-16,1665965.605880003,1064880.5058800029,511010|515220,-0.0005293224396103469,1.665965605880003
2026-06-17,1664893.705880003,1064880.5058800029,511010|515220,-0.0006434106419824781,1.664893705880003
2026-06-18,1663626.205880003,1064880.5058800029,511010|515220,-0.0007613098635207427,1.663626205880003
2026-06-22,1664771.0058800029,1064880.5058800029,511010|515220,0.0006881353491268172,1.664771005880003
2026-06-23,1663763.305880003,1064880.5058800029,511010|515220,-0.0006053084757247085,1.663763305880003
2026-06-24,1664054.825000003,1058101.325000003,511010|511260,0.00017521670238185294,1.664054825000003
2026-06-25,1660478.925000003,1058101.325000003,511010|511260,-0.0021489075637877164,1.6604789250000032
2026-06-26,1660831.625000003,1058101.325000003,511010|511260,0.00021240859771820553,1.660831625000003
2026-06-29,1661384.825000003,1058101.325000003,511010|511260,0.0003330861429133858,1.661384825000003
2026-06-30,1661131.725000003,1058101.325000003,511010|511260,-0.00015234279029852082,1.6611317250000028
2026-07-01,1660450.0250000032,1058101.325000003,511010|511260,-0.000410382867138237,1.6604500250000032
2026-07-02,1660718.225000003,1058101.325000003,511010|511260,0.00016152247641398887,1.660718225000003
2026-07-03,1660704.225000003,1058101.325000003,511010|511260,-8.430087530375552e-06,1.6607042250000028
2026-07-06,1660974.825000003,1058101.325000003,511010|511260,0.0001629429226026602,1.660974825000003
2026-07-07,1660962.1250000028,1058101.325000003,511010|511260,-7.646112276327166e-06,1.6609621250000028
2026-07-08,1661184.6250000028,1058101.325000003,511010|511260,0.0001339585031174817,1.6611846250000029
2026-07-09,1661087.825000003,1058101.325000003,511010|511260,-5.8271668629150675e-05,1.661087825000003
2026-07-10,1661125.925000003,1058101.325000003,511010|511260,2.2936776386428548e-05,1.661125925000003
2026-07-13,1661091.025000003,1058101.325000003,511010|511260,-2.100984607777967e-05,1.6610910250000028
2026-07-14,1661170.725000003,1058101.325000003,511010|511260,4.7980513289358484e-05,1.661170725000003
2026-07-15,1663650.7156400029,1056453.415640003,159992|511010,0.001492917376087366,1.6636507156400029
2026-07-16,1663342.915640003,1056453.415640003,159992|511010,-0.00018501479734067683,1.663342915640003
2026-07-17,1659235.0156400031,1056453.415640003,159992|511010,-0.0024696651312091644,1.659235015640003
2026-07-20,1660963.915640003,1056453.415640003,159992|511010,0.0010419862067176933,1.6609639156400031
2026-07-21,1661571.415640003,1056453.415640003,159992|511010,0.0003657514737553935,1.661571415640003
2026-07-22,1662361.728020003,1525301.028020003,159992|512010,0.00047564153581425295,1.6623617280200031
2026-07-23,1662170.928020003,1525301.028020003,159992|512010,-0.0001147764633797621,1.662170928020003
2026-07-24,1657172.928020003,1525301.028020003,159992|512010,-0.0030069109715170628,1.657172928020003
2026-07-27,1659090.228020003,1525301.028020003,159992|512010,0.001156970384672329,1.659090228020003
