date,gross_return,cost,net_return,n_holdings,exposure,equity_gross,equity_net
2024-06-17,0.012331650429208585,0.0,0.012331650429208585,40,1.0,4.159111784934709,4.1366629173883895
2024-06-18,0.002403492318540948,0.0,0.002403492318540948,40,1.0,4.1691081781617525,4.146605354934726
2024-06-20,0.0009705299105242957,0.0,0.0009705299105242957,40,1.0,4.17315442234887,4.15062975945883
2024-06-21,-0.001322093920273412,0.0,-0.001322093920273412,40,1.0,4.16763712025872,4.145142237088544
2024-06-24,0.0018715407379878346,0.0,0.0018715407379878346,40,1.0,4.175437022910435,4.152900039650009
2024-06-25,-0.005767097290305415,0.0,-0.005767097290305415,40,1.0,4.151356871369767,4.128949861084434
2024-06-26,-0.006757963386021662,0.0,-0.006757963386021662,40,1.0,4.123302153630741,4.1010465691005065
2024-06-27,0.005689958612363625,0.0,0.005689958612363625,40,1.0,4.146763572231169,4.124381354346064
2024-06-28,0.000989689739197955,0.0,0.000989689739197955,40,1.0,4.150867581589486,4.128463212252999
2024-07-01,-0.0045393897114327075,5.3170474380885215e-05,-0.004592560185813593,40,1.0,4.132025175996099,4.10950299647581
2024-07-02,0.007249598855678529,0.0,0.007249598855678529,40,1.0,4.1619807009836345,4.139295244696468
2024-07-03,0.00048489792453532674,0.0,0.00048489792453532674,40,1.0,4.163998836787497,4.141302380369661
2024-07-05,0.0006562476459085558,0.0,0.0006562476459085558,40,1.0,4.166731451221706,4.144020100307774
2024-07-08,0.004083676237847895,0.0,0.004083676237847895,40,1.0,4.183747033438554,4.1609429367205655
2024-07-09,-0.0005871882088433673,0.0,-0.0005871882088433673,40,1.0,4.181290386511735,4.158499680090453
2024-07-10,0.010402626699230925,0.0,0.010402626699230925,40,1.0,4.2247867895237,4.201758999891306
2024-07-11,0.005686723607231037,0.0,0.005686723607231037,40,1.0,4.248811984295203,4.225653241987883
2024-07-12,0.007498722141241795,0.0,0.007498722141241795,40,1.0,4.28067264479581,4.257340241514788
2024-07-15,0.002001558546230254,0.0,0.002001558546230254,40,1.0,4.289240661711615,4.265861557259402
2024-07-16,0.011795993791214699,0.0,0.011795993791214699,40,1.0,4.339836517926191,4.316181633703016
2024-07-17,-0.011872865259970115,0.0,-0.011872865259970115,40,1.0,4.288310223698556,4.264936190728502
2024-07-18,-0.0063351065885913415,0.0,-0.0063351065885913415,40,1.0,4.261143321346479,4.237917365366696
2024-07-19,-0.010439060413406729,0.0,-0.010439060413406729,40,1.0,4.216660988784758,4.193677489962608
2024-07-22,0.013346142649192119,0.0,0.013346142649192119,40,1.0,4.272937147844363,4.249646907968355
2024-07-23,-0.004636936606572511,0.0,-0.004636936606572511,40,1.0,4.25312380916594,4.229941564655789
2024-07-24,-0.015549623799255188,0.0,-0.015549623799255188,40,1.0,4.186989333961755,4.164167564632558
2024-07-25,-0.0018677359559953585,0.0,-0.0018677359559953585,40,1.0,4.179169143435345,4.156389999145305
2024-07-26,0.015850373201116385,0.0,0.015850373201116385,40,1.0,4.245410534029386,4.222270331801146
2024-07-29,-0.0011626844750392052,0.0,-0.0011626844750392052,40,1.0,4.240474461111302,4.217361163636942
2024-07-30,0.00314547414064437,0.0,0.00314547414064437,40,1.0,4.253812763872791,4.23062676411892
2024-07-31,0.009037229098255594,0.0,0.009037229098255594,40,1.0,4.292255444360993,4.268859907415475
2024-08-01,-0.012527986886886631,3.568020719491424e-05,-0.012563667094081545,40,1.0,4.238482124438871,4.215227372667435
2024-08-02,-0.02213563755583319,0.0,-0.02213563755583319,40,1.0,4.144660620345414,4.121920627330642
2024-08-05,-0.022449261048067035,0.0,-0.022449261048067035,40,1.0,4.051616052123637,4.029386555148284
2024-08-06,0.011790380653821835,0.0,0.011790380653821835,40,1.0,4.099386147641309,4.076894556434874
2024-08-07,-0.005597733641440589,0.0,-0.005597733641440589,40,1.0,4.076438875893402,4.054073186623713
2024-08-08,0.021139895327644365,0.0,0.021139895327644365,40,1.0,4.162614367039328,4.139775869439547
2024-08-09,0.0025845391721453417,0.0,0.0025845391721453417,40,1.0,4.173372806929477,4.150475282338015
2024-08-12,-0.001661580118097436,0.0,-0.001661580118097436,40,1.0,4.166438413648074,4.143578935128227
2024-08-13,0.013185254724052534,0.0,0.013185254724052534,40,1.0,4.221373965424101,4.198213078857111
2024-08-14,0.005248993552758336,0.0,0.005248993552758336,40,1.0,4.243531930152395,4.2202494722411386
2024-08-15,0.013217870213210237,0.0,0.013217870213210237,40,1.0,4.299622384450763,4.276032182032591
2024-08-16,0.0010615647363566272,0.0,0.0010615647363566272,40,1.0,4.304186711953745,4.280571467008562
2024-08-19,0.008176652012394236,0.0,0.008176652012394236,40,1.0,4.339380548893763,4.315572210308475
2024-08-20,-0.0020879528723890847,0.0,-0.0020879528723890847,40,1.0,4.33032012681231,4.3065614989159595
2024-08-21,0.005955678117311496,0.0,0.005955678117311496,40,1.0,4.35611011963252,4.33220999299591
2024-08-22,-0.003857516017312781,0.0,-0.003857516017312781,40,1.0,4.33930635507286,4.315498423557566
2024-08-23,0.01145369225351759,0.0,0.01145369225351759,40,1.0,4.389007434657597,4.364926814421534
2024-08-26,-0.0028882146613800116,0.0,-0.0028882146613800116,40,1.0,4.376331039035914,4.352319968800272
2024-08-27,0.002353853406403106,0.0,0.002353853406403106,40,1.0,4.386632280759696,4.362564691984589
2024-08-28,-0.00248835405634843,0.0,-0.00248835405634843,40,1.0,4.375716786530159,4.351709086437206
