,frozen_80_20_spy_dc,exp_80_20_vti_dc
2022-02-11,-0.015794889177629324,-0.015537676256195733
2022-02-14,-0.002595620241422703,-0.0029226299297224314
2022-02-15,0.012901594867530397,0.014226589956470859
2022-02-16,0.0009167755441198633,0.0007631194485147486
2022-02-17,-0.01708925371701362,-0.01817206278774366
2022-02-18,-0.005179841671745966,-0.006403296345232623
2022-02-22,-0.008603419092433607,-0.009207784486621452
2022-02-23,-0.014173099665127632,-0.01470204098099155
2022-02-24,0.012019509707784782,0.01399861949621597
2022-02-25,0.017671068960052726,0.01782324743003918
2022-02-28,-0.0020468948654066123,-0.0008673104322672653
2022-03-01,-0.0108327957106647,-0.011127606288750924
2022-03-02,0.013664534636852866,0.014122979303159379
2022-03-03,-0.0033829539930296253,-0.005494412542307125
2022-03-04,-0.004908138984303024,-0.006402640637059087
2022-03-07,-0.022101471882245826,-0.023183253971902795
2022-03-08,-0.003346876863777548,-0.0017881728895590811
2022-03-09,0.018463985447212727,0.019219524350562067
2022-03-10,-0.0032887475002596925,-0.0032709092948566723
2022-03-11,-0.010864382123252858,-0.011561892770475491
2022-03-14,-0.007358432278452454,-0.009399074862103141
2022-03-15,0.015709790104599133,0.01481118708727033
2022-03-16,0.018374723705408536,0.020646490281307116
2022-03-17,0.010498564264134515,0.01119840162205228
2022-03-18,0.007881393536513126,0.008464123158399405
2022-03-21,0.0005301478127355708,1.784246320495346e-05
2022-03-22,0.00864031471070127,0.009093819666930536
2022-03-23,-0.008936252690016522,-0.009529386033400523
2022-03-24,0.012784070447281493,0.012121124848477983
2022-03-25,0.0034896763815189585,0.002999500691491175
2022-03-28,0.003861992575403939,0.003362545766616876
2022-03-29,0.009964962797635368,0.01219529920476823
2022-03-30,-0.004127430743666394,-0.005675573480368868
2022-03-31,-0.012274125276609605,-0.012039203093332286
2022-04-01,0.0016286917718047358,0.0025589129976425263
2022-04-04,0.0073376364078276525,0.007274078119263017
2022-04-05,-0.010734908812763667,-0.01232507293007641
2022-04-06,-0.007763939448524971,-0.008956571786387481
2022-04-07,0.004414487643628995,0.0034117521994778246
2022-04-08,-0.001513201738945713,-0.001858638720755379
2022-04-11,-0.013173811492518995,-0.011997246463126143
2022-04-12,-0.0021951365156266276,-0.001690474922202212
2022-04-13,0.009646474830351871,0.010968873838682825
2022-04-14,-0.010289125949533552,-0.010068551678313798
2022-04-18,0.0006481310192918532,-0.0010584185610281406
2022-04-19,0.011397043403117169,0.012573605136000377
2022-04-20,-0.00010297776860301866,-0.000544669256504804
2022-04-21,-0.012317734678411598,-0.013433533190443272
2022-04-22,-0.022925092279491233,-0.022770340518273657
2022-04-25,0.0028446151009101856,0.0025761830917015336
2022-04-26,-0.023009228169511856,-0.022645943325307342
2022-04-27,0.001492278682678194,0.000810479234512418
2022-04-28,0.02075748177706559,0.020048322578679757
2022-04-29,-0.029571398545661397,-0.02939668522010901
2022-05-02,0.002956558537337251,0.004173699918175422
2022-05-03,0.003932071238244262,0.004064377608054115
2022-05-04,0.025343384242317902,0.024435302337711698
2022-05-05,-0.028791665407961832,-0.029860599939461996
2022-05-06,-0.004609468522643856,-0.00626931885666775
2022-05-09,-0.027067062320892635,-0.029809612742626005
2022-05-10,0.0010111851616395606,0.0007737705607502089
2022-05-11,-0.011893318768782746,-0.013653345368041702
2022-05-12,-0.002373227846541437,-0.000678464696470038
2022-05-13,0.01831829814827786,0.02061693353579526
2022-05-16,-0.002289675932690927,-0.002985755236404597
2022-05-17,0.015838491580282336,0.016469894200915082
2022-05-18,-0.03219567912692088,-0.03125215499464738
2022-05-19,-0.003422579962575956,-0.0020704894888002204
2022-05-20,0.00040924648536828646,6.002703202485638e-05
2022-05-23,0.015449280348120131,0.014161240078388138
2022-05-24,-0.005351231271806966,-0.0072579825128749505
2022-05-25,0.006466202239801833,0.008306582933098428
2022-05-26,0.015812194623896603,0.01620046364169847
2022-05-27,0.019693089749490002,0.020316874361632768
2022-05-31,-0.0054791090059162165,-0.007564786347896347
2022-06-01,-0.005954386155869929,-0.004756049984611244
2022-06-02,0.015254755362118089,0.016332106120848854
2022-06-03,-0.013129357243540252,-0.012773600048903955
2022-06-06,0.00241588738931644,0.002350670100021768
2022-06-07,0.007673823895993959,0.008680155775995235
2022-06-08,-0.00869762773449545,-0.008970179168114845
2022-06-09,-0.01900635641106934,-0.019132073057177016
2022-06-10,-0.023196437726050158,-0.023752541137785955
2022-06-13,-0.03039470646637761,-0.03268629883648218
2022-06-14,-0.0024105678849098314,-0.002261913181392128
2022-06-15,0.01139504185618614,0.011631449754749723
2022-06-16,-0.02642668851409531,-0.027876654983284024
2022-06-17,0.001744362770593111,0.003035881437214028
2022-06-21,0.02017884493112501,0.019418463405097522
2022-06-22,-0.001470416089023674,-0.00014761890299275215
2022-06-23,0.007862206535093508,0.00727356503508756
2022-06-24,0.02539506712808011,0.025811575832993917
2022-06-27,-0.0030157801889179937,-0.0024192064648765666
2022-06-28,-0.016346297392419242,-0.016485736412054797
2022-06-29,-0.0006315609952981306,-0.001323264679717262
2022-06-30,-0.006459551772770578,-0.006855872459933643
2022-07-01,0.008439436188015436,0.008418056867635438
2022-07-05,0.0015307757647131438,0.0028739656212874777
2022-07-06,0.002701772529195146,0.0015893012629481396
2022-07-07,0.012001754544376731,0.013209299968456633
2022-07-08,-0.0006581355331207961,-0.0008211716102130007
2022-07-11,-0.00913887856020903,-0.01011169623110435
2022-07-12,-0.007099150634150364,-0.0069304192495896816
2022-07-13,-0.004221290939783895,-0.003505324370986429
2022-07-14,-0.0018828905188442047,-0.0034828215547329845
2022-07-15,0.015264258888541793,0.015527475752304466
2022-07-18,-0.0065854916222275245,-0.005507045398829957
2022-07-19,0.021635251805230873,0.022365521649892407
2022-07-20,0.005098495469133591,0.006472681046127749
2022-07-21,0.008166678408974715,0.007934796840268543
2022-07-22,-0.007382411174106274,-0.008636894409065033
2022-07-25,0.0009718989268140632,0.0010913118875278017
2022-07-26,-0.009485087360837153,-0.00991043873017752
2022-07-27,0.020813217011389676,0.021049626497283706
2022-07-28,0.010033979637905865,0.010435011825821761
2022-07-29,0.011622858907744017,0.010850505830605029
2022-08-01,-0.0022768261599666498,-0.0017696754972777561
2022-08-02,-0.005267908640944752,-0.004305631464961258
2022-08-03,0.012557547794481573,0.012890568967565665
2022-08-04,-0.0005205203807976622,-0.0007496075387179557
2022-08-05,-0.001351977829578388,-0.00026946516758670215
2022-08-08,-0.0009287553519730763,0.0007317516099921706
2022-08-09,-0.0031368245787434914,-0.005001501527836227
2022-08-10,0.01678301733911709,0.018221677580378317
2022-08-11,4.00021453492494e-05,7.783833116834505e-05
2022-08-12,0.01356343845990442,0.013878445221394253
2022-08-15,0.0032963457117850315,0.003126377758054888
2022-08-16,0.0015872513552548817,0.0017255052700520857
2022-08-17,-0.005658663079458903,-0.007157371378802214
2022-08-18,0.0023452575576404125,0.0021104906814664484
2022-08-19,-0.010750534161983705,-0.011430582897021146
2022-08-22,-0.016578045855643264,-0.017031486367917827
2022-08-23,-0.0019954377558498494,-0.0015654030559636213
2022-08-24,0.002601056071928154,0.003404700808490224
2022-08-25,0.011343997199507783,0.01164111577943281
2022-08-26,-0.027079320157278607,-0.026495658436430224
2022-08-29,-0.005279854638549431,-0.0058397671794595315
2022-08-30,-0.008782225272269817,-0.008898642552403958
2022-08-31,-0.0060673620615328,-0.005859228893712266
2022-09-01,0.002566233303483756,0.0005393522083071645
2022-09-02,-0.008435577934058159,-0.007932232315231925
2022-09-06,-0.002998211967878461,-0.0032334064302619757
2022-09-07,0.014411772715058203,0.014822224963280119
2022-09-08,0.0052689218603749755,0.006374723989862163
2022-09-09,0.01240831926567012,0.01326644121677465
2022-09-12,0.008598170074220812,0.008608263789890503
2022-09-13,-0.03472607860680394,-0.034316748302540036
2022-09-14,0.003032735630323336,0.003094628030555802
2022-09-15,-0.009022919119210071,-0.008482529211916168
2022-09-16,-0.006102816870233574,-0.007290367302706158
2022-09-19,0.0062239132356120665,0.005692140382788935
2022-09-20,-0.009142895659151341,-0.009265615302633834
2022-09-21,-0.013935193042450722,-0.013648485689979362
2022-09-22,-0.00669994070863007,-0.008928705013727
2022-09-23,-0.013363847556965293,-0.013759012933056482
2022-09-26,-0.007914186817199997,-0.008769967789132771
2022-09-27,-0.0020223203978724015,-0.0011653888718996753
2022-09-28,0.01574134792328277,0.01683782583643545
2022-09-29,-0.016651433399125407,-0.01656005622267842
2022-09-30,-0.012350968351507131,-0.010840993086150942
