asof,portfolio_id,event,side,symbol,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights
2006-12-01,traditional_60_40_ief,FILL,SELL,SPY,-1.359398000988108,97.73746661535976,132.864116738562,1.0,0.066432058369281,0.6,700.1000748746519,,,,
2006-12-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,2.5835796138917324,50.625137256503564,130.79407256637344,1.0,0.06539703628318672,0.4,901.0807858656792,,,,
2006-12-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 700.1000748746519, 'IEF': 901.0384206078459}",,,,,,,114041.21433002561,0.012917898069474631,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998867062787385, 'SPY': 0.6000112160981826}"
2007-01-03,traditional_60_40_ief,FILL,SELL,SPY,-7.46722281713221,99.48493016435067,742.8761404840438,1.0,0.3714380702420219,0.6,692.6328520575197,,,,
2007-01-03,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,14.754683352085635,50.15856947451897,740.0738099901158,1.0,0.3700369049950579,0.4,915.8492309272971,,,,
2007-01-03,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 692.6328520575197, 'IEF': 915.7931039599315}",,,,,,,114841.47671915374,0.0737734167604458,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998503451495926, 'SPY': 0.600014323091553}"
2007-02-01,traditional_60_40_ief,FILL,SELL,SPY,-4.951203526185509,100.81370836644344,499.1491883517723,1.0,0.24957459417588615,0.6,687.6816485313342,,,,
2007-02-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,9.948799156701655,49.92314124576962,496.6753055258104,1.0,0.2483376527629052,0.4,925.7929346859447,,,,
2007-02-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 687.6816485313342, 'IEF': 925.7419031166331}",,,,,,,115543.730694408,0.049743995783501305,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999865982227279, 'SPY': 0.6000129712563301}"
2007-03-01,traditional_60_40_ief,FILL,SELL,IEF,-30.262569162333307,51.040904679238245,1544.6289079635092,1.0,0.7723144539817546,0.4,895.4793339542998,,,,
2007-03-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,15.813853385811923,97.44979305619924,1541.0567398684475,1.0,0.7705283699342237,0.6,703.5326688723264,,,,
2007-03-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 703.4955019171462, 'IEF': 895.4793339542998}",,,,,,,114261.645473649,0.079069266929082,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40001240256188936, 'SPY': 0.599986905436288}"
2007-04-02,traditional_60_40_ief,FILL,SELL,SPY,-7.634034378987849,99.81634521484375,762.0014109550365,1.0,0.38100070547751824,0.6,695.8614675381583,,,,
2007-04-02,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,14.928334913458638,50.859336934476616,759.2452152343037,1.0,0.3796226076171519,0.4,910.463416055169,,,,
2007-04-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 695.8614675381583, 'IEF': 910.4076688677585}",,,,,,,115761.15348584791,0.07464167456714677,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998504666193885, 'SPY': 0.6000143085477121}"
2007-05-01,traditional_60_40_ief,FILL,SELL,SPY,-10.45617917814593,104.21171002240123,1089.6563124552133,1.0,0.5448281562276066,0.6,685.4052883600124,,,,
2007-05-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,21.259926287212927,51.107258952097006,1086.5365580630853,1.0,0.5432682790315426,0.4,931.7300989192543,,,,
2007-05-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 685.4052883600124, 'IEF': 931.6675951549714}",,,,,,,119042.34050088795,0.10629963143605892,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999835423473334, 'SPY': 0.600015564696169}"
2007-06-01,traditional_60_40_ief,FILL,SELL,SPY,-14.20810220869896,108.04544889682066,1535.1207811107884,1.0,0.7675603905553943,0.6,671.1971861513134,,,,
2007-06-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,30.481683306745037,50.24464449197926,1531.5413412645032,1.0,0.7657706706322516,0.4,962.222634329093,,,,
2007-06-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 671.1971861513134, 'IEF': 962.1492784617164}",,,,,,,120862.80212894137,0.1524084165334898,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999811984579769, 'SPY': 0.600017540538523}"
2007-07-02,traditional_60_40_ief,FILL,SELL,IEF,-7.145474391499192,50.0980940972897,357.9746484351004,1.0,0.1789873242175502,0.4,955.0038040702173,,,,
2007-07-02,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,3.343908314644667,106.38852497575786,355.75347324921853,1.0,0.17787673662460926,0.6,674.5634049886668,,,,
2007-07-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 674.541094465958, 'IEF': 955.0038040702173}",,,,,,,119607.31923488755,0.01671954157319533,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40000788200613785, 'SPY': 0.5999919782069186}"
2007-08-01,traditional_60_40_ief,FILL,SELL,IEF,-33.20221724513874,51.172243346117156,1699.0319404988873,1.0,0.8495159702494437,0.4,921.8015868250785,,,,
2007-08-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,16.55921204443269,102.37617038203952,1695.2687136531622,1.0,0.8476343568265811,0.6,691.1372286415193,,,,
2007-08-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 691.1003065103907, 'IEF': 921.8015868250785}",,,,,,,117922.94064429757,0.08279606022210828,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40001254090275185, 'SPY': 0.5999867569772046}"
2007-09-04,traditional_60_40_ief,FILL,SELL,IEF,-4.755883797168963,52.420402036271014,249.3053406853842,1.0,0.12465267034269212,0.4,917.0457030279096,,,,
