asof,portfolio_id,event,symbol,target_weight,lookthrough_targets,side,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights,need
2007-05-01,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.9, 'VWO': 0.1}",SELL,-1.3118749963524579,24.382134616024707,31.98631276046255,1.0,0.015993156380231275,0.1,512.8077276279462,,,,,
2007-05-01,candidate_80_20_dc,FILL,GLD,,"{'SPY': 0.9, 'VWO': 0.1}",SELL,-182.56262005537974,66.9800033569336,12228.044904159928,1.0,6.114022452079964,0.0,0.0,,,,,
2007-05-01,candidate_80_20_dc,PARTIAL_FILL,SPY,,"{'SPY': 0.9, 'VWO': 0.1}",BUY,117.49371637058158,104.21171002240123,12244.221099865304,1.0,6.1221105499326525,0.9,1079.8222522235887,,,,,
2007-05-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.9, 'VWO': 0.1}",,"{'SPY': 1079.6702578389188, 'VWO': 512.8077276279462}",,,,,,,125018.21834546475,0.5874685818507714,"{'SPY': 0.9, 'VWO': 0.1}","{'VWO': 0.10001219992282746, 'SPY': 0.8999831010133911}",
2007-06-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-116.60789850595972,108.04544889682066,12598.952738991322,1.0,6.299476369495661,0.8,963.0623593329591,,,,,
2007-06-01,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-15.569655243038653,26.158119899860843,407.2729086469021,1.0,0.20363645432345107,0.1,497.2380723849075,,,,,
2007-06-01,candidate_80_20_dc,PARTIAL_FILL,QQQ,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",BUY,318.5025156070864,40.782167307596396,12989.22287937853,1.5925125780354321,6.494611439689265,0.1,318.93383738331505,,,,,
2007-06-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",,"{'SPY': 963.0623593329591, 'VWO': 497.2380723849075, 'QQQ': 318.5025156070864}",,,,,,,130051.54092535938,1.000000000001819,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}","{'VWO': 0.1000127566630303, 'SPY': 0.8001020533042424, 'QQQ': 0.09987750077358522}",
2007-07-02,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-24.712667472806345,27.316517238825757,675.0640070382831,1.0,0.3375320035191416,0.1,472.5254049121012,,,,,
2007-07-02,candidate_80_20_dc,FILL,QQQ,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-3.1065949610760413,40.92554000897098,127.13907637118515,1.0,0.06356953818559258,0.1,315.3959206460104,,,,,
2007-07-02,candidate_80_20_dc,PARTIAL_FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",BUY,7.513636752652502,106.38852497575786,799.3647313183429,1.0,0.3996823656591715,0.8,970.6120747143169,,,,,
2007-07-02,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",,"{'SPY': 970.5759960856116, 'VWO': 472.5254049121012, 'QQQ': 315.3959206460104}",,,,,,,129073.68290673797,0.03756818376325555,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}","{'VWO': 0.10000294466216642, 'SPY': 0.7999938196156857, 'QQQ': 0.10000294466216642}",
2007-08-01,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-17.14751272029457,27.487894204492594,471.3490155256482,1.0,0.23567450776282411,0.1,455.3778921918066,,,,,
2007-08-01,candidate_80_20_dc,FILL,QQQ,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-7.473226355101531,40.651045069797505,303.79446137803086,1.0,0.15189723068901545,0.1,307.92269429090885,,,,,
2007-08-01,candidate_80_20_dc,PARTIAL_FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",BUY,7.534664679188242,102.37617038203952,771.3701149681106,1.0,0.3856850574840553,0.8,978.1478855418655,,,,,
2007-08-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",,"{'SPY': 978.1106607647998, 'VWO': 455.3778921918066, 'QQQ': 307.92269429090885}",,,,,,,125170.01997953623,0.03767332339589302,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}","{'VWO': 0.1000030145052278, 'SPY': 0.7999936700123343, 'QQQ': 0.1000030145052278}",
2007-09-04,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-0.5576563267646861,103.97690153493042,57.983376978342754,1.0,0.02899168848917138,0.8,977.5530044380351,,,,,
2007-09-04,candidate_80_20_dc,FILL,QQQ,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",SELL,-5.21257446590505,41.97205751924836,218.78247530633203,1.0,0.10939123765316601,0.1,302.7101198250038,,,,,
2007-09-04,candidate_80_20_dc,PARTIAL_FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",BUY,10.020142533229244,27.29285555678797,273.47830281785326,1.0,0.13673915140892665,0.1,465.51986964199085,,,,,
2007-09-04,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}",,"{'SPY': 977.5530044380351, 'VWO': 465.39803472503587, 'QQQ': 302.7101198250038}",,,,,,,127050.39048745867,0.05010071266616478,"{'SPY': 0.8, 'VWO': 0.1, 'QQQ': 0.1}","{'VWO': 0.09997640534144782, 'SPY': 0.8000206225077466, 'QQQ': 0.10000257781346833}",
